#1.2
56238	53
Name	Description	Adipose - Subcutaneous	Adipose - Visceral (Omentum)	Adrenal Gland	Artery - Aorta	Artery - Coronary	Artery - Tibial	Bladder	Brain - Amygdala	Brain - Anterior cingulate cortex (BA24)	Brain - Caudate (basal ganglia)	Brain - Cerebellar Hemisphere	Brain - Cerebellum	Brain - Cortex	Brain - Frontal Cortex (BA9)	Brain - Hippocampus	Brain - Hypothalamus	Brain - Nucleus accumbens (basal ganglia)	Brain - Putamen (basal ganglia)	Brain - Spinal cord (cervical c-1)	Brain - Substantia nigra	Breast - Mammary Tissue	Cells - EBV-transformed lymphocytes	Cells - Transformed fibroblasts	Cervix - Ectocervix	Cervix - Endocervix	Colon - Sigmoid	Colon - Transverse	Esophagus - Gastroesophageal Junction	Esophagus - Mucosa	Esophagus - Muscularis	Fallopian Tube	Heart - Atrial Appendage	Heart - Left Ventricle	Kidney - Cortex	Liver	Lung	Minor Salivary Gland	Muscle - Skeletal	Nerve - Tibial	Ovary	Pancreas	Pituitary	Prostate	Skin - Not Sun Exposed (Suprapubic)	Skin - Sun Exposed (Lower leg)	Small Intestine - Terminal Ileum	Spleen	Stomach	Testis	Thyroid	Uterus	Vagina	Whole Blood
ENSG00000222623.1	RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241599.1	RP11-34P13.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02834	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05057
ENSG00000228463.4	AP006222.2	0.7119	0.4871	0.5066	0.2784	0.3098	0.2616	0.3403	0.445	0.5358	0.4313	1.101	1.105	0.7716	0.7798	0.4064	0.7122	0.5244	0.3588	0.463	0.4858	0.5624	0.1603	0.2779	0.2478	0.3723	0.2647	0.1855	0.2407	0.2291	0.2292	0.3166	0.3127	0.24	0.2792	0.1841	0.3186	0.3505	0.2002	0.5806	0.5567	0.2739	0.5959	0.4568	0.3662	0.451	0.2418	0.6848	0.1917	0.7782	0.3429	0.346	0.3274	0.7202
ENSG00000237094.7	RP4-669L17.10	0.7309	0.5142	0.4628	0.4731	0.5033	0.4689	0.6985	0.1961	0.1927	0.2379	0.6099	0.7629	0.3142	0.2199	0.2003	0.1936	0.2391	0.1854	0.2657	0.2223	0.7565	0.6663	0.3069	0.8499	0.9275	0.6467	0.5742	0.6844	0.7203	0.6325	0.8658	0.3157	0.1964	0.5292	0.2886	0.879	0.6986	0.1854	1.041	1.251	0.4699	0.9365	1.067	0.7977	0.8553	0.7678	1.142	0.5591	4.204	1.079	0.8668	0.7236	2.561
ENSG00000250575.1	RP4-669L17.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233653.3	CICP7	0	0	0	0	0	0	0.006639	0	0	0	0	0.005898	0	0	0	0	0	0	0	0	0.006118	0	0	0	0	0	0	0	0	0	0.008046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.006499	0	0
ENSG00000224813.2	RP4-669L17.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235249.1	OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269732.1	WBP1LP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256186.1	AL732372.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236601.1	RP4-669L17.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236743.1	RP5-857K21.15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02902	0	0	0	0
ENSG00000236679.2	RP4-669L17.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231709.1	RP5-857K21.1	0.05866	0.04011	0.04108	0.05557	0.05952	0.06666	0.04888	0.05118	0.04442	0.03827	0.09536	0.08342	0.07372	0.08385	0.03764	0.06548	0.05079	0.03818	0.05791	0.0529	0.05221	0.01493	0.03305	0.04522	0.07277	0.04481	0.02106	0.0554	0.1046	0.04812	0.1249	0.01788	0	0.03876	0.02033	0.03633	0.04385	0.01766	0.094	0.08365	0.05295	0.07249	0.06087	0.06966	0.08206	0.02459	0.03117	0.02538	0.2159	0.06457	0.07063	0.09276	0.01468
ENSG00000235146.2	RP5-857K21.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1751	0	0	0	0
ENSG00000239664.2	RP5-857K21.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07136	0	0	0	0
ENSG00000230021.3	RP5-857K21.4	0.04832	0.04681	0.03117	0.04288	0.0447	0.05455	0.03186	0.03193	0.04096	0.03729	0.06511	0.0853	0.04843	0.04309	0.02469	0.04084	0.04094	0.02277	0.0253	0.04122	0.05673	0.01452	0.02601	0.02393	0.1051	0.04773	0.03446	0.04152	0.03495	0.04602	0.09901	0.02277	0.01717	0.03104	0.03406	0.04609	0.04488	0.02154	0.08501	0.08398	0.04269	0.1041	0.05443	0.04516	0.04483	0.03307	0.1027	0.03835	0.46	0.06128	0.06691	0.05394	0.06368
ENSG00000223659.1	RP5-857K21.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1358	0	0	0	0
ENSG00000225972.1	MTND1P23	16.97	29.55	43.54	6.156	10.24	6.873	9.554	74.82	61.79	95.6	26.91	34.72	63.16	53.92	68.05	63.12	80.66	102.9	42.99	97.29	17.31	20.43	8.966	5.289	7.781	13.7	29.83	16.91	8.039	15.9	16.87	31.3	55.99	51.68	19.84	13.44	9.662	27.87	9.582	5.372	14.34	8.062	11.37	13.42	12.63	29.64	18.4	27.07	19.36	9.023	6.379	5.979	5.068
ENSG00000225630.1	MTND2P28	424.9	475.3	477.5	119	190.2	136.9	212.1	1014	948.2	1217	314.8	409.3	915.4	764.6	978	902.5	961.1	1256	889.6	1184	391.1	97.07	78.26	141.8	180	357.9	422.6	335.5	160.9	352.3	210.9	684.1	1020	776.2	413.8	210	256	421.8	263.2	151.2	224.8	236.4	394.4	273.7	261.1	398.5	175.3	467.1	262.7	239.5	166.4	163.5	39.74
ENSG00000237973.1	hsa-mir-6723	191.4	214	538.6	97.15	158.3	154.2	236.5	1059	829.1	653.3	234.1	219.6	636.7	679.6	810.4	794	625.1	746.9	356.8	653.9	210.1	168.7	122.9	132	217.4	181.5	509.7	273.9	196.1	269.2	223.6	731.4	1006	484.9	383.8	182.4	202.1	462.1	126.9	106.7	160	48.47	138.4	301.3	288.5	466	284.6	404.2	171	236.9	130.8	143.1	49.12
ENSG00000229344.1	RP5-857K21.7	59.53	75.03	82.83	21.67	41.38	29.76	57	327.3	254.3	269.9	85.1	77.26	168.2	204.9	299.6	283.8	242.4	294.7	214.9	358.8	64.04	30.79	25.77	33.11	27.32	68.37	99.75	66.53	43.58	70.28	33	89.11	190.4	159.9	116.8	46.25	38.76	67.32	42.07	18.71	37.58	45.99	87.18	63.41	62.46	88.62	59.25	88.76	37.41	54.22	25.68	34.62	16.64
ENSG00000240409.1	MTATP8P1	19.41	22.14	20.02	7.479	10.42	9.975	11.9	71.71	58.5	62.35	20.29	21.58	43.97	39.65	76.21	59.58	57.67	66.3	43.65	66.03	19.04	7.235	4.009	8.139	11.06	16.83	19.5	14.2	9.564	14.95	6.359	41.85	69.82	36.52	32.64	12.91	11.72	28.25	14.78	6.25	12.07	12.98	20.32	17.73	18	18.89	10.32	21.48	9.18	17.64	7.52	8.335	3.78
ENSG00000248527.1	MTATP6P1	1828	2388	3714	816.7	1108	940.1	1471	5635	5190	6242	2108	2393	4212	3769	5266	5178	5407	6822	3292	5027	2037	948.6	649.4	884.9	984.2	1937	3044	1997	1181	1998	1054	5508	7572	4931	4092	1242	1631	3283	1176	1131	1204	1451	2450	1645	1532	2714	1505	2905	1625	1660	1068	1077	328.5
ENSG00000198744.5	RP5-857K21.11	54.94	54.04	90.06	12.28	24.45	17.24	29.65	179.9	123.3	107.5	38.52	45.57	68.67	59.29	118.4	99.76	109.3	112.2	52.1	116.9	43.18	54.29	34.66	13.08	14.59	44.09	120.9	61.7	38.63	63.1	26.09	102.5	120.5	90.91	52.67	29.11	25.01	41.25	29.5	12.51	44.88	18.43	53.13	26.88	35.08	93.75	45.27	89.18	42.94	34.58	16.92	16.18	3.094
ENSG00000268663.1	WBP1LP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03053	0	0	0	0
ENSG00000185097.2	OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229376.3	CICP3	0.06901	0.05904	0.07312	0.06775	0.07493	0.05176	0.06444	0.04195	0.03378	0.06207	0.1394	0.187	0.04737	0.04491	0.0349	0.05113	0.0792	0.04185	0.0467	0.03107	0.08429	0.08466	0.04819	0.07114	0.09162	0.07404	0.0749	0.08355	0.06235	0.07807	0.08457	0.04283	0.03211	0.04292	0.06948	0.06258	0.1073	0.02983	0.1293	0.1536	0.07499	0.2277	0.1007	0.07052	0.0597	0.08419	0.08561	0.08031	0.1997	0.1365	0.1197	0.09411	0.04733
ENSG00000224956.5	RP11-206L10.1	2.714	1.967	1.868	1.468	1.906	1.448	2.685	0.8371	0.671	0.7251	1.747	1.936	0.9126	0.6335	0.7463	0.9927	0.7915	0.8347	0.9836	0.8444	2.726	2.014	0.9768	2.63	2.363	2.412	2.217	2.128	1.748	1.996	2.042	1.025	0.654	2.264	1.849	2.237	1.847	0.5753	3.036	3.289	1.521	4.493	4.378	3.147	3.326	2.663	4.405	2.073	21.08	4.249	2.309	2.239	2.834
ENSG00000235373.1	RP11-206L10.3	0.07744	0.05467	0.04964	0.04512	0.0448	0.04675	0.08535	0.01828	0.01451	0.01866	0.03933	0.05682	0.02615	0.0151	0.0171	0.01957	0.01939	0.01545	0.02693	0.0169	0.08732	0.08431	0.03104	0.06383	0.07945	0.05515	0.05788	0.05742	0.1088	0.0568	0.09366	0.03286	0.01889	0.0378	0.02488	0.1152	0.09862	0.01823	0.1067	0.1492	0.06956	0.08744	0.09718	0.1058	0.1094	0.09022	0.09589	0.06531	0.176	0.1098	0.08336	0.09536	0.289
ENSG00000223181.1	RNU6-1199P	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240618.1	RP11-206L10.5	1.59	1.494	0.9216	0.998	1.008	1.057	1.98	0.5889	0.5285	0.5729	1.49	1.711	0.7423	0.6446	0.422	0.5238	0.6018	0.4014	0.705	0.5737	1.826	1.668	0.7379	1.296	1.614	1.212	1.139	1.263	2.984	1.238	2.037	0.8033	0.5192	0.8121	0.5196	2.921	2.242	0.5476	2.183	2.888	1.388	2.197	1.95	1.773	1.947	1.355	2.947	1.251	5.401	2.105	1.652	1.989	12.71
ENSG00000229905.1	RP11-206L10.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.08065	0	0	0	0
ENSG00000228327.2	RP11-206L10.2	2.247	1.615	1.517	1.323	1.507	1.482	2.841	0.7307	0.765	0.8189	1.869	2.05	1.132	0.9893	0.7599	0.8923	0.8729	0.653	1.148	0.8013	2.386	2.94	1.3	2.261	2.027	1.582	1.526	1.674	2.213	1.706	1.808	1.053	0.6418	1.207	0.8071	2.416	2.546	0.7915	2.805	3.639	1.683	3.018	2.269	2.414	2.49	1.956	2.084	1.639	8.781	2.977	2.327	2.159	4.961
ENSG00000237491.4	RP11-206L10.9	0.2999	0.1891	0.1536	0.3067	0.3369	0.3804	0.2854	0.2091	0.2328	0.273	1.055	1.093	0.2892	0.2986	0.2221	0.2748	0.3046	0.2423	0.2146	0.1873	0.315	0.4754	0.1651	0.4198	0.5495	0.3106	0.3894	0.2353	0.2163	0.1967	0.3633	0.1393	0.1141	0.2077	0.2024	0.3058	0.3712	0.1258	0.6098	0.4018	0.1592	1.213	0.5141	0.3821	0.4415	0.3856	0.4677	0.2361	1.684	0.4927	0.4352	0.358	0.0636
ENSG00000230092.3	RP11-206L10.8	0.4581	0.2642	0.3275	0.2841	0.3115	0.3748	0.3896	0.117	0.1024	0.1282	0.3009	0.3606	0.1409	0.1451	0.1228	0.1599	0.1586	0.1029	0.1017	0.1393	0.4403	0.6723	0.3341	0.4818	0.291	0.3192	0.3831	0.3158	0.2536	0.3043	0.5842	0.1596	0.1203	0.2557	0.1387	0.3668	0.5145	0.2039	0.5776	0.4064	0.2911	0.511	0.5147	0.6504	0.6886	0.5885	0.524	0.3238	0.8281	0.4951	0.4288	0.4285	0.2053
ENSG00000269831.1	AL669831.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240453.1	RP11-206L10.10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000177757.1	FAM87B	0.6746	0.3289	0.517	0.3609	0.313	0.5545	0.331	0.07302	0.07669	0.082	0.4827	0.6112	0.07733	0.0642	0.06009	0.1387	0.09903	0.06802	0.1059	0.07143	0.3503	0.1808	0.2629	0.3027	0.3994	0.1934	0.1748	0.2046	0.1066	0.1541	0.2977	0.1388	0.0506	0.1242	0.03983	0.1674	0.2106	0.07362	0.3845	0.2183	0.07418	0.265	0.2673	0.2527	0.3137	0.1554	0.106	0.1472	0.575	0.2906	0.2423	0.2347	0.02405
ENSG00000225880.4	LINC00115	1.592	1.272	0.899	1.836	1.744	2.28	2.453	0.6694	0.6232	0.9158	3.912	4.154	0.8922	0.7351	0.8649	0.9563	0.9267	0.7329	1.375	0.957	1.659	1.484	0.9281	2.862	3.479	2.312	1.732	1.658	1.404	1.474	1.135	1.283	0.6752	1.763	1.444	2.089	2.31	0.7234	3.54	3.969	0.5003	3.533	4.736	1.627	1.604	1.579	2.355	1.15	2.724	2.957	3.069	3.503	0.6087
ENSG00000228794.4	RP11-206L10.11	4.284	4.713	2.728	4.271	4.337	5.368	5.065	2.532	3.97	3.076	13.77	11.75	4.5	5.568	2.695	3.484	3.456	2.808	2.202	2.147	3.835	2.343	1.891	4.136	3.945	4.929	2.949	5.266	1.982	5.199	4.07	10.3	13.11	2.135	2.84	3.125	2.035	7.187	3.101	3.191	2.107	12.13	4.775	2.281	2.351	2.416	2.76	2.502	5.864	3.546	4.221	3.052	0.6763
ENSG00000230368.2	FAM41C	0.02424	0.02002	0.01853	0.02116	0.02306	0.02364	0	0.03037	0.03675	0.02995	0.1729	0.2027	0.06275	0.04118	0.03892	0.04348	0.0488	0.03401	0.04424	0.02332	0.032	0	0	0.02045	0.03169	0.03485	0.02441	0.02224	0.02151	0.02174	0.02553	0.03304	0.0322	0.02356	0.01906	0.02884	0.02705	0.06667	0.04673	0.02357	0.02661	0.1174	0.06438	0.1356	0.07816	0.02636	0.03161	0.02565	0.09513	0.04096	0.02496	0.06945	0
ENSG00000234711.1	TUBB8P11	0	0	0	0	0	0	0	0	0.02981	0.01482	0	0	0.04646	0.02739	0	0.02907	0.03601	0	0	0	0	0	0	0.0122	0	0	0	0	0	0	0	0.0209	0.03236	0	0	0	0	0	0	0	0	0.08515	0	0.05755	0.04248	0.0352	0	0	0.1274	0	0	0	0
ENSG00000269308.1	AL645608.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272438.1	RP11-54O7.16	0	0.0443	0.1259	0.06403	0.04562	0.06988	0.278	0.08378	0.1136	0.1091	0	0	0.1286	0.07879	0.1128	0.1259	0.1654	0.118	0.1634	0.06617	0.0525	0.1838	0.1185	0.0574	0.07334	0.0892	0.05489	0.05618	0.06432	0.05242	0.3465	0.1607	0	0.4958	0	0.07253	0	0	0.06383	0	0	0.5652	0.4137	0.0658	0.07891	0.0621	0.4812	0.06979	0.5564	0.1201	0.119	0.1295	0
ENSG00000230699.2	RP11-54O7.1	0.01362	0.03269	0.128	0.08524	0.04967	0.07171	0.2263	0.06633	0.1083	0.09253	0	0.01332	0.09834	0.0805	0.08922	0.1133	0.1328	0.07767	0.05291	0.04448	0.04959	0.2012	0.1589	0.09759	0.09558	0.07803	0.06603	0.05111	0.07431	0.06671	0.2926	0.1895	0.005939	0.3716	0.04764	0.08194	0.01191	0	0.05656	0.02454	0.01893	0.4459	0.3858	0.09028	0.1071	0.08072	0.4405	0.08748	0.4222	0.1298	0.1146	0.1203	0
ENSG00000241180.1	RP11-54O7.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223764.2	RP11-54O7.3	0.1972	0.6646	1.646	1.522	0.9402	2.688	4.52	0.1685	0.1416	0.3062	0.1159	0.1888	0.2533	0.1546	0.3713	0.9263	0.234	0.2294	1.026	0.3426	0.5457	0.1166	0.2364	0.7322	0.9618	1.3	0.9171	1.644	0.5862	1.647	4.614	2.511	0.0815	3.475	0.7126	0.9273	0.2265	0.02419	1.546	0.181	0.163	8.622	8.361	0.3196	0.5564	1.261	7.349	1.097	1.727	1.511	1.955	1.481	0
ENSG00000187634.6	SAMD11	0.2	1.405	2.474	2.167	1.418	3.017	8.415	0.3162	0.2323	1.438	0.1646	0.2503	0.3672	0.2105	0.5182	2.685	0.7552	0.8661	1.517	0.7613	0.7855	0.01757	0.3809	1.756	4.183	2.482	2.048	2.548	0.6785	2.943	12.2	4.241	0.1789	6.298	1.06	1.565	0.3623	0.08586	2.322	0.682	0.5652	20.76	9.542	0.2354	0.3417	2.302	10.76	2.038	3.811	2.322	4.66	3.376	0.006372
ENSG00000268179.1	AL645608.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188976.6	NOC2L	20.77	19.51	17.48	18.93	18.68	20.91	27.85	10.71	14.69	13.09	29.14	29.15	19.53	20.11	12.7	15.03	13.9	11.89	11.83	11.94	24.05	36.21	26	23.63	25.14	21.03	21.83	21.48	32.5	21.11	26.34	15.68	13.93	20.63	13.54	21.31	21.9	26.27	24.38	22.54	18.53	24.7	25.92	33.86	36.06	20.12	26.52	20.62	41.32	24.56	24.81	27.3	7.958
ENSG00000187961.9	KLHL17	3.526	3.539	3.369	4.427	4.526	3.218	6.157	1.601	2.48	2.35	8.806	10.6	4.846	3.097	1.971	2.553	2.158	2.089	1.63	1.748	4.724	5.818	4.219	6.264	6.113	4.701	4.339	4.775	6.69	4.631	4.745	2.209	1.459	5.704	2.719	5.176	5.25	0.8851	2.948	1.038	2.754	8.635	6.964	6.143	6.012	4.673	9.015	4.733	12.45	5.014	5.257	6.522	1.702
